SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate
"28559","10264","1","2019","Normal","Creator Expert","Model making","Modular Buildings Collection","Corner Garage","X","10264-1","199.99","159.99","269.99","179.99","02/01/2019 00:00:00","17/12/2021 00:00:00","2569","6","Box","LEGO exclusive","6250882","6250863","5702016368253","","57.7","47.4","8.6","3.044","16","","19258","6087","2","33","X","32","242.2200","200.1300","Florian Müller,","01/01/2019 00:00:00","31/12/2021 00:00:00"
"28959","10265","1","2019","Normal","Creator Expert","Model making","Vehicles","Ford Mustang","X","10265-1","169.99","149.99","209.99","169.99","01/03/2019 00:00:00","01/03/2024 00:00:00","1471","","Box","LEGO exclusive","6250886","6250884","5702016368260","673419302425","48","28.2","11.8","","16","","17383","3934","9","22","X","44","130.3800","84.9800","Adam Grabowski,Mike Psiaki,","01/03/2019 00:00:00","31/12/2023 00:00:00"
"28592","10266","1","2019","Normal","Creator Expert","Model making","Space","NASA Apollo 11 Lunar Lander","X","10266-1","99.99","89.99","139.99","99.99","12/06/2019 00:00:00","01/03/2024 00:00:00","1087","2","Box","LEGO exclusive","6250890","6250888","5702016368277","673419302432","48","28.2","9.1","","","","21943","4030","10","22","X","44","88.1400","64.6900","","01/06/2019 00:00:00","31/12/2023 00:00:00"
"28591","10267","1","2019","Normal","Creator Expert","Model making","Winter Village Collection","Gingerbread House","X","10267-1","99.99","84.99","139.99","89.99","01/10/2019 00:00:00","29/10/2021 00:00:00","1477","2","Box","LEGO exclusive","6250893","6250892","5702016368284","","47.8","27.8","8.8","1.448","12","","16341","3747","4","24","X","12","128.7700","107.5800","Florian Müller,Tiago Catarino,","01/10/2019 00:00:00","31/12/2021 00:00:00"
"28590","10269","1","2019","Normal","Creator Expert","Model making","Vehicles","Harley-Davidson Fat Boy","X","10269-1","99.99","84.99","139.99","89.99","02/08/2019 00:00:00","21/11/2021 00:00:00","1023","","Box","LEGO exclusive","6250895","6250894","5702016368291","","48","28.2","7.4","","16","","7782","2253","10","10","X","14","117.6800","61.1500","Mike Psiaki,","01/08/2019 00:00:00","31/12/2021 00:00:00"
"28939","10766","1","2019","Normal","Disney","Licensed","Toy Story 4","Woody & RC","X","10766-1","9.99","8.99","13.99","9.74","22/04/2019 00:00:00","26/02/2021 00:00:00","69","1","Box","Retail","6250754","6250753","5702016367713","","19.1","14.1","4.6","","4","","4734","678","2","6","X","18","14.4800","5.5600","Milan Madge,","22/04/2019 00:00:00","31/12/2020 00:00:00"
"28940","10767","1","2019","Normal","Disney","Licensed","Toy Story 4","Duke Caboom's Stunt Show","X","10767-1","19.99","15.99","24.99","19.49","22/04/2019 00:00:00","27/02/2021 00:00:00","120","2","Box","Retail","6250755","6250756","5702016367720","","26.2","19.1","6.1","","4","","2606","578","2","4","X","4","16.9100","12.8300","","22/04/2019 00:00:00","31/07/2020 00:00:00"
"28941","10768","1","2019","Normal","Disney","Licensed","Toy Story 4","Buzz and Bo Peep's Playground Adventure","X","10768-1","24.99","19.99","34.99","24.36","22/04/2019 00:00:00","15/11/2020 00:00:00","139","3","Box","Retail","6250758","6250757","5702016367737","","26.2","19.1","7.2","","4","","2176","553","2","4","X","8","28.2700","15.0000","Milan Madge,","22/04/2019 00:00:00","31/12/2020 00:00:00"
"28942","10769","1","2019","Normal","Disney","Licensed","Toy Story 4","RV Vacation","X","10769-1","34.99","29.99","49.99","34.11","22/04/2019 00:00:00","26/02/2021 00:00:00","178","3","Box","Retail","6250760","6250759","5702016367744","","28.2","26.2","7.6","","4","","2770","754","2","4","X","11","34.3800","28.5000","Astrid Bonfante,","22/04/2019 00:00:00","31/12/2020 00:00:00"
"28943","10770","1","2019","Normal","Disney","Licensed","Toy Story 4","Buzz & Woody's Carnival Mania!","X","10770-1","49.99","44.99","69.99","49.99","22/04/2019 00:00:00","16/02/2021 00:00:00","230","5","Box","Retail","6250762","6250761","5702016367751","","38.2","26.2","5.7","","4","","2658","710","2","4","X","13","35.1900","24.0000","","22/04/2019 00:00:00","31/12/2020 00:00:00"
